document_name,source_token,source_type,source_pos_tag,source_sentence_ID,source_token_ID,source_prev_tag,source_next_tag,target_token,target_type,target_pos_tag,target_sentence_ID,target_token_ID,target_prev_tag,target_next_tag,token_distance,sentence_distance,dependency_tags,relation_type
doc-20.7 - marketing team,review,B-Activity,VB,1,10,O,B-Activity Data,finalize,B-Activity,VBP,2,8,B-Actor,B-Activity Data,2,1,[0],flow
doc-20.7 - marketing team,finalize,B-Activity,VBP,2,8,B-Actor,B-Activity Data,they,B-Actor,PRP,2,7,O,B-Activity,1,0,[0],actor performer
doc-20.7 - marketing team,finalize,B-Activity,VBP,2,8,B-Actor,B-Activity Data,their,B-Activity Data,PRP$,2,9,B-Activity,O,1,0,[0],uses
doc-20.7 - marketing team,finalize,B-Activity,VBP,2,8,B-Actor,B-Activity Data,While,B-AND Gateway,IN,3,0,O,O,8,1,[0],flow
doc-20.7 - marketing team,drive,B-Activity,VBP,2,15,B-Actor,B-Activity Data,they,B-Actor,PRP,2,14,O,B-Activity,1,0,[0],actor performer
doc-20.7 - marketing team,drive,B-Activity,VBP,2,15,B-Actor,B-Activity Data,the,B-Activity Data,DT,2,17,B-Activity,B-Further Specification,2,0,[0],uses
doc-20.7 - marketing team,drive,B-Activity,VBP,2,15,B-Actor,B-Activity Data,in,B-Further Specification,IN,2,20,B-Activity Data,O,5,0,"[50, 55, 14]",further specification
doc-20.7 - marketing team,drive,B-Activity,VBP,2,15,B-Actor,B-Activity Data,deliver,B-Activity,VBP,4,1,B-Actor,B-Activity Data,14,2,[0],flow
doc-20.7 - marketing team,While,B-AND Gateway,IN,3,0,O,O,drive,B-Activity,VBP,2,15,B-Actor,B-Activity Data,15,1,[0],flow
doc-20.7 - marketing team,While,B-AND Gateway,IN,3,0,O,O,discuss,B-Activity,VBP,3,3,B-Actor,B-Activity Data,3,0,[0],flow
doc-20.7 - marketing team,discuss,B-Activity,VBP,3,3,B-Actor,B-Activity Data,they,B-Actor,PRP,3,2,O,B-Activity,1,0,[0],actor performer
doc-20.7 - marketing team,discuss,B-Activity,VBP,3,3,B-Actor,B-Activity Data,deliver,B-Activity,VBP,4,1,B-Actor,B-Activity Data,2,1,[0],flow
doc-20.7 - marketing team,deliver,B-Activity,VBP,4,1,B-Actor,B-Activity Data,They,B-Actor,PRP,4,0,O,B-Activity,1,0,[0],actor performer
doc-20.7 - marketing team,deliver,B-Activity,VBP,4,1,B-Actor,B-Activity Data,their,B-Activity Data,PRP$,4,2,B-Activity,O,1,0,[0],uses
doc-20.7 - marketing team,deliver,B-Activity,VBP,4,1,B-Actor,B-Activity Data,the,B-Actor,DT,4,5,O,O,4,0,[0],actor recipient
doc-20.7 - marketing team,return,B-Activity,VB,4,9,O,B-Activity Data,They,B-Actor,PRP,4,0,O,B-Activity,9,0,[0],actor performer
doc-20.7 - marketing team,return,B-Activity,VB,4,9,O,B-Activity Data,to,B-Activity Data,TO,4,10,B-Activity,O,1,0,[0],uses
doc-20.8 - order shipping,receiving,B-Activity,VBG,0,1,O,B-Activity Data,an,B-Activity Data,DT,0,2,B-Activity,O,1,0,[0],uses
doc-20.8 - order shipping,receiving,B-Activity,VBG,0,1,O,B-Activity Data,the,B-Actor,DT,0,5,O,O,4,0,[0],Actor recipient
doc-20.8 - order shipping,receiving,B-Activity,VBG,0,1,O,B-Activity Data,processed,B-Activity,VBN,0,13,O,O,12,0,[0],flow
doc-20.8 - order shipping,processed,B-Activity,VBN,0,13,O,O,the,B-Actor,DT,0,5,O,O,8,0,[0],actor performer
doc-20.8 - order shipping,processed,B-Activity,VBN,0,13,O,O,the,B-Activity Data,DT,0,10,O,O,3,0,[0],uses
doc-20.8 - order shipping,processed,B-Activity,VBN,0,13,O,O,For,B-XOR Gateway,IN,1,0,O,B-Condition Specification,13,1,[0],flow
doc-20.8 - order shipping,For,B-XOR Gateway,IN,1,0,O,B-Condition Specification,orders,B-Condition Specification,NNS,1,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.8 - order shipping,For,B-XOR Gateway,IN,1,0,O,B-Condition Specification,For,B-XOR Gateway,IN,2,0,O,B-Condition Specification,0,1,[0],same gateway
doc-20.8 - order shipping,orders,B-Condition Specification,NNS,1,1,B-XOR Gateway,O,production,B-Activity,NN,1,8,O,O,7,0,[0],flow
doc-20.8 - order shipping,production,B-Activity,NN,1,8,O,O,the,B-Actor,DT,0,5,O,O,3,1,[0],actor performer
doc-20.8 - order shipping,production,B-Activity,NN,1,8,O,O,fresh,B-Activity Data,JJ,1,10,O,O,2,0,[0],uses
doc-20.8 - order shipping,production,B-Activity,NN,1,8,O,O,concurrently,B-AND Gateway,RB,3,2,B-Actor,B-Activity,6,2,[0],flow
doc-20.8 - order shipping,For,B-XOR Gateway,IN,2,0,O,B-Condition Specification,orders,B-Condition Specification,NNS,2,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.8 - order shipping,orders,B-Condition Specification,NNS,2,1,B-XOR Gateway,O,used,B-Activity,VBN,2,9,O,O,8,0,[0],flow
doc-20.8 - order shipping,used,B-Activity,VBN,2,9,O,O,the,B-Actor,DT,0,5,O,O,4,2,[0],actor performer
doc-20.8 - order shipping,used,B-Activity,VBN,2,9,O,O,stock,B-Activity Data,NN,2,6,O,O,3,0,[0],uses
doc-20.8 - order shipping,used,B-Activity,VBN,2,9,O,O,concurrently,B-AND Gateway,RB,3,2,B-Actor,B-Activity,7,1,[0],flow
doc-20.8 - order shipping,concurrently,B-AND Gateway,RB,3,2,B-Actor,B-Activity,organizes,B-Activity,VBZ,3,3,B-AND Gateway,B-Activity Data,1,0,[0],flow
doc-20.8 - order shipping,concurrently,B-AND Gateway,RB,3,2,B-Actor,B-Activity,and,B-AND Gateway,CC,3,5,B-Activity Data,B-Activity,3,0,[0],same gateway
doc-20.8 - order shipping,concurrently,B-AND Gateway,RB,3,2,B-Actor,B-Activity,packages,B-Activity,VBZ,3,6,B-AND Gateway,B-Activity Data,4,0,[0],flow
doc-20.8 - order shipping,organizes,B-Activity,VBZ,3,3,B-AND Gateway,B-Activity Data,The,B-Actor,DT,3,0,O,B-AND Gateway,3,0,[0],actor performer
doc-20.8 - order shipping,organizes,B-Activity,VBZ,3,3,B-AND Gateway,B-Activity Data,shipping,B-Activity Data,NN,3,4,B-Activity,B-AND Gateway,1,0,[0],uses
doc-20.8 - order shipping,organizes,B-Activity,VBZ,3,3,B-AND Gateway,B-Activity Data,Once,B-AND Gateway,IN,4,0,O,O,3,1,[0],flow
doc-20.8 - order shipping,packages,B-Activity,VBZ,3,6,B-AND Gateway,B-Activity Data,The,B-Actor,DT,3,0,O,B-AND Gateway,6,0,[0],actor performer
doc-20.8 - order shipping,packages,B-Activity,VBZ,3,6,B-AND Gateway,B-Activity Data,the,B-Activity Data,DT,3,7,B-Activity,O,1,0,[0],uses
doc-20.8 - order shipping,packages,B-Activity,VBZ,3,6,B-AND Gateway,B-Activity Data,Once,B-AND Gateway,IN,4,0,O,O,6,1,[0],flow
doc-20.8 - order shipping,Once,B-AND Gateway,IN,4,0,O,O,shipped,B-Activity,VBN,4,9,O,O,9,0,[0],flow
doc-20.8 - order shipping,shipped,B-Activity,VBN,4,9,O,O,The,B-Actor,DT,3,0,O,B-AND Gateway,9,1,[0],actor performer
doc-20.8 - order shipping,shipped,B-Activity,VBN,4,9,O,O,the,B-Activity Data,DT,4,6,O,O,3,0,[0],uses
doc-20.9 - complaint process model,receiving,B-Activity,VBG,1,1,O,B-Activity Data,a,B-Activity Data,DT,1,2,B-Activity,B-Actor,1,0,[0],uses
doc-20.9 - complaint process model,receiving,B-Activity,VBG,1,1,O,B-Activity Data,the,B-Actor,DT,1,4,B-Activity Data,O,3,0,[0],actor recipient
doc-20.9 - complaint process model,receiving,B-Activity,VBG,1,1,O,B-Activity Data,For,B-XOR Gateway,IN,2,0,O,B-Condition Specification,1,1,[0],flow
doc-20.9 - complaint process model,For,B-XOR Gateway,IN,2,0,O,B-Condition Specification,phone,B-Condition Specification,NN,2,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.9 - complaint process model,For,B-XOR Gateway,IN,2,0,O,B-Condition Specification,For,B-XOR Gateway,IN,3,0,O,B-Condition Specification,0,1,[0],same gateway
doc-20.9 - complaint process model,For,B-XOR Gateway,IN,2,0,O,B-Condition Specification,When,B-XOR Gateway,WRB,4,0,O,B-Condition Specification,0,2,[0],same gateway
doc-20.9 - complaint process model,phone,B-Condition Specification,NN,2,1,B-XOR Gateway,O,records,B-Activity,VBZ,2,6,B-Actor,B-Activity Data,5,0,[0],flow
doc-20.9 - complaint process model,records,B-Activity,VBZ,2,6,B-Actor,B-Activity Data,the,B-Actor,DT,2,4,O,B-Activity,2,0,[0],actor performer
doc-20.9 - complaint process model,records,B-Activity,VBZ,2,6,B-Actor,B-Activity Data,the,B-Activity Data,DT,2,7,B-Activity,O,1,0,[0],uses
doc-20.9 - complaint process model,records,B-Activity,VBZ,2,6,B-Actor,B-Activity Data,After,B-XOR Gateway,IN,5,0,O,O,6,3,[0],flow
doc-20.9 - complaint process model,For,B-XOR Gateway,IN,3,0,O,B-Condition Specification,in-person,B-Condition Specification,JJ,3,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.9 - complaint process model,in-person,B-Condition Specification,JJ,3,1,B-XOR Gateway,O,documents,B-Activity,NNS,3,11,O,B-Activity Data,10,0,[0],flow
doc-20.9 - complaint process model,documents,B-Activity,NNS,3,11,O,B-Activity Data,the,B-Actor,DT,3,8,O,O,3,0,[0],actor performer
doc-20.9 - complaint process model,documents,B-Activity,NNS,3,11,O,B-Activity Data,the,B-Activity Data,DT,3,12,B-Activity,O,1,0,[0],uses
doc-20.9 - complaint process model,documents,B-Activity,NNS,3,11,O,B-Activity Data,After,B-XOR Gateway,IN,5,0,O,O,11,2,[0],flow
doc-20.9 - complaint process model,When,B-XOR Gateway,WRB,4,0,O,B-Condition Specification,the,B-Condition Specification,DT,4,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.9 - complaint process model,the,B-Condition Specification,DT,4,1,B-XOR Gateway,O,notes,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,10,0,[0],flow
doc-20.9 - complaint process model,notes,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,the,B-Actor,DT,4,9,O,B-Activity,2,0,[0],actor performer
doc-20.9 - complaint process model,notes,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,the,B-Activity Data,DT,4,12,B-Activity,O,1,0,[0],uses
doc-20.9 - complaint process model,notes,B-Activity,VBZ,4,11,B-Actor,B-Activity Data,After,B-XOR Gateway,IN,5,0,O,O,11,1,[0],flow
doc-20.9 - complaint process model,After,B-XOR Gateway,IN,5,0,O,O,Meanwhile,B-AND Gateway,RB,6,0,O,O,0,1,[0],flow
doc-20.9 - complaint process model,analyzes,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,the,B-Actor,DT,5,5,O,B-Activity,2,0,[0],actor performer
doc-20.9 - complaint process model,analyzes,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,the,B-Activity Data,DT,5,8,B-Activity,O,1,0,[0],uses
doc-20.9 - complaint process model,analyzes,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,Once,B-AND Gateway,IN,7,0,O,O,7,2,[0],flow
doc-20.9 - complaint process model,Meanwhile,B-AND Gateway,RB,6,0,O,O,analyzes,B-Activity,VBZ,5,7,B-Actor,B-Activity Data,7,1,[0],flow
doc-20.9 - complaint process model,Meanwhile,B-AND Gateway,RB,6,0,O,O,consults,B-Activity,NNS,6,4,B-Actor,B-Activity Data,4,0,[0],flow
doc-20.9 - complaint process model,consults,B-Activity,NNS,6,4,B-Actor,B-Activity Data,the,B-Actor,DT,6,2,O,B-Activity,2,0,[0],actor performer
doc-20.9 - complaint process model,consults,B-Activity,NNS,6,4,B-Actor,B-Activity Data,other,B-Activity Data,JJ,6,5,B-Activity,O,1,0,[0],uses
doc-20.9 - complaint process model,consults,B-Activity,NNS,6,4,B-Actor,B-Activity Data,Once,B-AND Gateway,IN,7,0,O,O,4,1,[0],flow
doc-20.9 - complaint process model,Once,B-AND Gateway,IN,7,0,O,O,resolves,B-Activity,VBZ,7,8,B-Actor,B-Activity Data,8,0,[0],flow
doc-20.9 - complaint process model,resolves,B-Activity,VBZ,7,8,B-Actor,B-Activity Data,the,B-Actor,DT,7,6,O,B-Activity,2,0,[0],actor performer
doc-20.9 - complaint process model,resolves,B-Activity,VBZ,7,8,B-Actor,B-Activity Data,the,B-Activity Data,DT,7,9,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.9 - complaint process model,resolves,B-Activity,VBZ,7,8,B-Actor,B-Activity Data,based,B-Further Specification,VBN,7,11,B-Activity Data,O,3,0,[0],further specification
doc-20.9 - complaint process model,resolves,B-Activity,VBZ,7,8,B-Actor,B-Activity Data,archives,B-Activity,VBZ,8,11,B-Actor,B-Activity Data,3,1,[0],flow
doc-20.9 - complaint process model,archives,B-Activity,VBZ,8,11,B-Actor,B-Activity Data,the,B-Actor,DT,8,9,O,B-Activity,2,0,[0],actor performer
doc-20.9 - complaint process model,archives,B-Activity,VBZ,8,11,B-Actor,B-Activity Data,the,B-Activity Data,DT,8,12,B-Activity,O,1,0,[0],uses
doc-20.9 - complaint process model,archives,B-Activity,VBZ,8,11,B-Actor,B-Activity Data,close,B-Activity,VB,9,6,B-Further Specification,B-Activity Data,5,1,[0],flow
doc-20.9 - complaint process model,close,B-Activity,VB,9,6,B-Further Specification,B-Activity Data,formally,B-Further Specification,RB,9,5,O,B-Activity,1,0,[0],further specification
doc-20.9 - complaint process model,close,B-Activity,VB,9,6,B-Further Specification,B-Activity Data,the,B-Activity Data,DT,9,7,B-Activity,O,1,0,[0],uses
doc-20.10 - ISP student,register,B-Activity,NN,0,1,B-Actor,B-Activity Data,Students,B-Actor,NNS,0,0,NONE,B-Activity,1,0,[0],actor performer
doc-20.10 - ISP student,register,B-Activity,NN,0,1,B-Actor,B-Activity Data,for,B-Activity Data,IN,0,2,B-Activity,O,1,0,[0],uses
doc-20.10 - ISP student,register,B-Activity,NN,0,1,B-Actor,B-Activity Data,log,B-Activity,NN,3,2,O,B-Activity Data,1,3,[0],flow
doc-20.10 - ISP student,log,B-Activity,NN,3,2,O,B-Activity Data,Students,B-Actor,NNS,3,0,O,O,2,0,[0],actor performer
doc-20.10 - ISP student,log,B-Activity,NN,3,2,O,B-Activity Data,KU,B-Activity Data,NNP,3,4,B-Activity,O,2,0,[0],uses
doc-20.10 - ISP student,log,B-Activity,NN,3,2,O,B-Activity Data,Simultaneously,B-AND Gateway,RB,4,0,O,O,2,1,[0],flow
doc-20.10 - ISP student,select,B-Activity,VB,3,9,O,B-Activity Data,Students,B-Actor,NNS,3,0,O,O,9,0,[0],actor performer
doc-20.10 - ISP student,select,B-Activity,VB,3,9,O,B-Activity Data,courses,B-Activity Data,NNS,3,10,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.10 - ISP student,select,B-Activity,VB,3,9,O,B-Activity Data,in,B-Further Specification,IN,3,11,B-Activity Data,O,2,0,[0],further specification
doc-20.10 - ISP student,select,B-Activity,VB,3,9,O,B-Activity Data,After,B-AND Gateway,IN,5,0,O,O,9,2,[0],flow
doc-20.10 - ISP student,Simultaneously,B-AND Gateway,RB,4,0,O,O,select,B-Activity,VB,3,9,O,B-Activity Data,9,1,[0],flow
doc-20.10 - ISP student,Simultaneously,B-AND Gateway,RB,4,0,O,O,updated,B-Activity,VBN,4,11,O,O,11,0,[0],flow
doc-20.10 - ISP student,updated,B-Activity,VBN,4,11,O,O,they,B-Actor,PRP,4,2,O,O,9,0,[0],actor performer
doc-20.10 - ISP student,updated,B-Activity,VBN,4,11,O,O,their,B-Activity Data,PRP$,4,5,O,O,6,0,[0],uses
doc-20.10 - ISP student,updated,B-Activity,VBN,4,11,O,O,After,B-AND Gateway,IN,5,0,O,O,11,1,[0],flow
doc-20.10 - ISP student,After,B-AND Gateway,IN,5,0,O,O,choosing,B-Activity,VBG,5,16,O,B-Activity Data,16,0,[0],flow
doc-20.10 - ISP student,choosing,B-Activity,VBG,5,16,O,B-Activity Data,they,B-Actor,PRP,5,11,O,O,5,0,[0],actor performer
doc-20.10 - ISP student,choosing,B-Activity,VBG,5,16,O,B-Activity Data,their,B-Activity Data,PRP$,5,17,B-Activity,O,1,0,[0],uses
doc-20.10 - ISP student,choosing,B-Activity,VBG,5,16,O,B-Activity Data,saves,B-Activity,VBZ,6,3,B-Actor,B-Activity Data,13,1,[0],flow
doc-20.10 - ISP student,saves,B-Activity,VBZ,6,3,B-Actor,B-Activity Data,the,B-Actor,DT,6,1,O,B-Activity,2,0,[0],actor performer
doc-20.10 - ISP student,saves,B-Activity,VBZ,6,3,B-Actor,B-Activity Data,the,B-Activity Data,DT,6,4,B-Activity,O,1,0,[0],uses
doc-20.10 - ISP student,saves,B-Activity,VBZ,6,3,B-Actor,B-Activity Data,submits,B-Activity,VBZ,8,2,B-Actor,B-Activity Data,1,2,[0],flow
doc-20.10 - ISP student,submits,B-Activity,VBZ,8,2,B-Actor,B-Activity Data,The,B-Actor,DT,8,0,O,B-Activity,2,0,[0],actor performer
doc-20.10 - ISP student,submits,B-Activity,VBZ,8,2,B-Actor,B-Activity Data,his,B-Activity Data,PRP$,8,3,B-Activity,O,1,0,[0],uses
doc-20.10 - ISP student,submits,B-Activity,VBZ,8,2,B-Actor,B-Activity Data,designated,B-Actor,JJ,8,8,O,O,6,0,[0],actor recipient
doc-20.10 - ISP student,submits,B-Activity,VBZ,8,2,B-Actor,B-Activity Data,If,B-XOR Gateway,IN,9,0,O,B-Condition Specification,2,1,[0],flow
doc-20.10 - ISP student,If,B-XOR Gateway,IN,9,0,O,B-Condition Specification,the,B-Condition Specification,DT,9,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.10 - ISP student,the,B-Condition Specification,DT,9,1,B-XOR Gateway,O,mails,B-Activity,VBZ,9,8,B-Actor,B-Actor,7,0,[0],flow
doc-20.10 - ISP student,mails,B-Activity,VBZ,9,8,B-Actor,B-Actor,the,B-Actor,DT,9,6,O,B-Activity,2,0,[0],actor performer
doc-20.10 - ISP student,mails,B-Activity,VBZ,9,8,B-Actor,B-Actor,his,B-Actor,PRP$,9,9,B-Activity,B-Activity Data,1,0,[0],actor recipient
doc-20.10 - ISP student,mails,B-Activity,VBZ,9,8,B-Actor,B-Actor,for ,B-Activity Data,VBD,9,11,B-Actor,O,3,0,[0],uses
doc-20.10 - ISP student,mails,B-Activity,VBZ,9,8,B-Actor,B-Actor,reviews,B-Activity,VBZ,10,9,B-Actor,B-Activity Data,1,1,[0],flow
doc-20.10 - ISP student,reviews,B-Activity,VBZ,10,9,B-Actor,B-Activity Data,With,B-Further Specification,IN,10,0,O,O,9,0,[0],further specification
doc-20.10 - ISP student,reviews,B-Activity,VBZ,10,9,B-Actor,B-Activity Data,the,B-Actor,DT,10,7,O,B-Activity,2,0,[0],actor performer
doc-20.10 - ISP student,reviews,B-Activity,VBZ,10,9,B-Actor,B-Activity Data,his,B-Activity Data,PRP$,10,10,B-Activity,O,1,0,[0],uses
doc-20.11 - credit risk assessment,initiates,B-Activity,VBZ,0,8,B-Actor,B-Activity Data,the,B-Actor,DT,0,6,O,B-Activity,2,0,[0],actor performer
doc-20.11 - credit risk assessment,initiates,B-Activity,VBZ,0,8,B-Actor,B-Activity Data,the,B-Activity Data,DT,0,9,B-Activity,O,1,0,[0],uses
doc-20.11 - credit risk assessment,initiates,B-Activity,VBZ,0,8,B-Actor,B-Activity Data,created,B-Activity,VBN,1,4,O,O,4,1,[0],flow
doc-20.11 - credit risk assessment,created,B-Activity,VBN,1,4,O,O,A,B-Activity Data,DT,1,0,O,O,4,0,[0],uses
doc-20.11 - credit risk assessment,created,B-Activity,VBN,1,4,O,O,the,B-Actor,DT,1,6,O,O,2,0,[0],actor performer
doc-20.11 - credit risk assessment,created,B-Activity,VBN,1,4,O,O,concurrently,B-AND Gateway,RB,2,3,B-Actor,B-Activity,1,1,[0],flow
doc-20.11 - credit risk assessment,concurrently,B-AND Gateway,RB,2,3,B-Actor,B-Activity,evaluates,B-Activity,VBZ,2,4,B-AND Gateway,B-Activity Data,1,0,[0],flow
doc-20.11 - credit risk assessment,concurrently,B-AND Gateway,RB,2,3,B-Actor,B-Activity,gathers,B-Activity,NNS,2,10,O,B-Activity Data,7,0,[0],flow
doc-20.11 - credit risk assessment,concurrently,B-AND Gateway,RB,2,3,B-Actor,B-Activity,check,B-Activity,NN,2,14,O,B-Activity Data,11,0,[0],flow
doc-20.11 - credit risk assessment,evaluates,B-Activity,VBZ,2,4,B-AND Gateway,B-Activity Data,the,B-Actor,DT,2,1,O,B-AND Gateway,3,0,[0],actor performer
doc-20.11 - credit risk assessment,evaluates,B-Activity,VBZ,2,4,B-AND Gateway,B-Activity Data,the,B-Activity Data,DT,2,5,B-Activity,O,1,0,[0],uses
doc-20.11 - credit risk assessment,evaluates,B-Activity,VBZ,2,4,B-AND Gateway,B-Activity Data,Following,B-AND Gateway,VBG,3,0,O,O,4,1,[0],flow
doc-20.11 - credit risk assessment,gathers,B-Activity,NNS,2,10,O,B-Activity Data,the,B-Actor,DT,2,1,O,B-AND Gateway,9,0,[0],actor performer
doc-20.11 - credit risk assessment,gathers,B-Activity,NNS,2,10,O,B-Activity Data,income,B-Activity Data,NN,2,11,B-Activity,O,1,0,[0],uses
doc-20.11 - credit risk assessment,gathers,B-Activity,NNS,2,10,O,B-Activity Data,Following,B-AND Gateway,VBG,3,0,O,O,10,1,[0],flow
doc-20.11 - credit risk assessment,check,B-Activity,NN,2,14,O,B-Activity Data,the,B-Actor,DT,2,1,O,B-AND Gateway,13,0,[0],actor performer
doc-20.11 - credit risk assessment,check,B-Activity,NN,2,14,O,B-Activity Data,other,B-Activity Data,JJ,2,16,B-Activity,O,2,0,[0],uses
doc-20.11 - credit risk assessment,check,B-Activity,NN,2,14,O,B-Activity Data,Following,B-AND Gateway,VBG,3,0,O,O,14,1,[0],flow
doc-20.11 - credit risk assessment,Following,B-AND Gateway,VBG,3,0,O,O,performed,B-Activity,VBN,3,8,O,O,8,0,[0],flow
doc-20.11 - credit risk assessment,performed,B-Activity,VBN,3,8,O,O,the,B-Actor,DT,2,1,O,B-AND Gateway,7,1,[0],actor performer
doc-20.11 - credit risk assessment,performed,B-Activity,VBN,3,8,O,O,an,B-Activity Data,DT,3,3,O,O,5,0,[0],uses
doc-20.11 - credit risk assessment,performed,B-Activity,VBN,3,8,O,O,If,B-XOR Gateway,IN,4,0,O,B-Condition Specification,8,1,[0],flow
doc-20.11 - credit risk assessment,If,B-XOR Gateway,IN,4,0,O,B-Condition Specification,the,B-Condition Specification,DT,4,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.11 - credit risk assessment,If,B-XOR Gateway,IN,4,0,O,B-Condition Specification,If,B-XOR Gateway,IN,5,0,O,B-Condition Specification,0,1,[0],same gateway
doc-20.11 - credit risk assessment,the,B-Condition Specification,DT,4,1,B-XOR Gateway,O,granted,B-Activity,VBN,4,11,O,O,10,0,[0],flow
doc-20.11 - credit risk assessment,granted,B-Activity,VBN,4,11,O,O,the,B-Actor,DT,2,1,O,B-AND Gateway,10,2,[0],actor performer
doc-20.11 - credit risk assessment,granted,B-Activity,VBN,4,11,O,O,a,B-Activity Data,DT,4,6,O,O,5,0,[0],uses
doc-20.11 - credit risk assessment,granted,B-Activity,VBN,4,11,O,O,the,B-Actor,DT,4,13,O,O,2,0,[0],actor recipient
doc-20.11 - credit risk assessment,If,B-XOR Gateway,IN,5,0,O,B-Condition Specification,the,B-Condition Specification,DT,5,1,B-XOR Gateway,O,1,0,[0],flow
doc-20.11 - credit risk assessment,the,B-Condition Specification,DT,5,1,B-XOR Gateway,O,declined,B-Activity,VBN,5,10,O,O,9,0,[0],flow
doc-20.11 - credit risk assessment,declined,B-Activity,VBN,5,10,O,O,the,B-Actor,DT,2,1,O,B-AND Gateway,9,3,[0],actor performer
doc-20.11 - credit risk assessment,declined,B-Activity,VBN,5,10,O,O,the,B-Activity Data,DT,5,6,O,O,4,0,[0],uses
doc-20.12 - horse riding lesson,arrive,B-Activity,VBP,0,2,B-Actor,B-Activity Data,The,B-Actor,DT,0,0,NONE,B-Activity,2,0,[0],actor performer
doc-20.12 - horse riding lesson,arrive,B-Activity,VBP,0,2,B-Actor,B-Activity Data,at,B-Activity Data,IN,0,3,B-Activity,O,1,0,[0],uses
doc-20.12 - horse riding lesson,arrive,B-Activity,VBP,0,2,B-Actor,B-Activity Data,go,B-Activity,VBP,1,1,B-Actor,B-Activity Data,1,1,[0],flow
doc-20.12 - horse riding lesson,go,B-Activity,VBP,1,1,B-Actor,B-Activity Data,They,B-Actor,PRP,1,0,O,B-Activity,1,0,[0],actor performer
doc-20.12 - horse riding lesson,go,B-Activity,VBP,1,1,B-Actor,B-Activity Data,to,B-Activity Data,TO,1,2,B-Activity,O,1,0,[0],uses
doc-20.12 - horse riding lesson,go,B-Activity,VBP,1,1,B-Actor,B-Activity Data,assigns,B-Activity,VBZ,2,2,B-Actor,B-Activity Data,1,1,[0],flow
doc-20.12 - horse riding lesson,assigns,B-Activity,VBZ,2,2,B-Actor,B-Activity Data,The,B-Actor,DT,2,0,O,B-Activity,2,0,[0],actor performer
doc-20.12 - horse riding lesson,assigns,B-Activity,VBZ,2,2,B-Actor,B-Activity Data,the,B-Activity Data,DT,2,3,B-Activity,B-Further Specification,1,0,[0],uses
doc-20.12 - horse riding lesson,assigns,B-Activity,VBZ,2,2,B-Actor,B-Activity Data,according,B-Further Specification,VBG,2,8,B-Activity Data,O,6,0,[0],further specification
doc-20.12 - horse riding lesson,assigns,B-Activity,VBZ,2,2,B-Actor,B-Activity Data,while,B-AND Gateway,IN,3,5,B-Activity Data,B-Actor,3,1,[0],flow
doc-20.12 - horse riding lesson,saddle,B-Activity,VBD,3,2,B-Actor,B-Activity Data,The,B-Actor,DT,3,0,O,B-Activity,2,0,[0],actor performer
doc-20.12 - horse riding lesson,saddle,B-Activity,VBD,3,2,B-Actor,B-Activity Data,the,B-Activity Data,DT,3,3,B-Activity,B-AND Gateway,1,0,[0],uses
doc-20.12 - horse riding lesson,saddle,B-Activity,VBD,3,2,B-Actor,B-Activity Data,When,B-AND Gateway,WRB,4,0,O,O,2,1,[0],flow
doc-20.12 - horse riding lesson,while,B-AND Gateway,IN,3,5,B-Activity Data,B-Actor,saddle,B-Activity,VBD,3,2,B-Actor,B-Activity Data,3,0,[0],flow
doc-20.12 - horse riding lesson,while,B-AND Gateway,IN,3,5,B-Activity Data,B-Actor,prepares,B-Activity,VBZ,3,8,B-Actor,B-Activity Data,3,0,[0],flow
doc-20.12 - horse riding lesson,prepares,B-Activity,VBZ,3,8,B-Actor,B-Activity Data,the,B-Actor,DT,3,6,B-AND Gateway,B-Activity,2,0,[0],actor performer
doc-20.12 - horse riding lesson,prepares,B-Activity,VBZ,3,8,B-Actor,B-Activity Data,the,B-Activity Data,DT,3,9,B-Activity,O,1,0,[0],uses
doc-20.12 - horse riding lesson,prepares,B-Activity,VBZ,3,8,B-Actor,B-Activity Data,When,B-AND Gateway,WRB,4,0,O,O,8,1,[0],flow
doc-20.12 - horse riding lesson,When,B-AND Gateway,WRB,4,0,O,O,conducts,B-Activity,VBZ,4,14,B-Actor,B-Activity Data,14,0,[0],flow
doc-20.12 - horse riding lesson,conducts,B-Activity,VBZ,4,14,B-Actor,B-Activity Data,the,B-Actor,DT,4,12,O,B-Activity,2,0,[0],actor performer
doc-20.12 - horse riding lesson,conducts,B-Activity,VBZ,4,14,B-Actor,B-Activity Data,the,B-Activity Data,DT,4,15,B-Activity,O,1,0,[0],uses
